airport_code,airport_name,city,country,country_code,latitude,longitude,timezone,is_major_airport
TUP,Tupelo Regional Airport,Tupelo,US,US,34.26810073852539, -88.7698974609375,,False
TUS,Tucson International Airport,Tucson,US,US,32.115004, -110.938053,,False
TVC,Cherry Capital Airport,Traverse City,US,US,44.741402, -85.582199,,False
TVF,Thief River Falls Regional Airport,Thief River Falls,US,US,48.065701, -96.184998,,False
TVI,Thomasville Regional Airport,Thomasville,US,US,30.901599884033, -83.881301879883,,False
TVL,Lake Tahoe Airport,South Lake Tahoe,US,US,38.89390182495117, -119.99500274658203,,False
TWF,Joslin Field Magic Valley Regional Airport,Twin Falls,US,US,42.4818, -114.487999,,False
TXK,Texarkana Regional Airport (Webb Field),Texarkana,US,US,33.453701, -93.990997,,False
TYZ,Taylor Airport,Taylor,US,US,34.45280075, -110.1149979,,False
TYR,Tyler Pounds Regional Airport,Tyler,US,US,32.35409927368164, -95.40239715576172,,False
TYS,McGhee Tyson Airport,Knoxville/Maryville,US,US,35.811001, -83.994003,,False
BFG,Bullfrog Basin Airport,Bullfrog,US,US,37.547827, -110.712898,,False
NPH,J. Randy McKnight Nephi Municipal Airport,Nephi,US,US,39.73681, -111.870063,,False
RVR,Green River Municipal Airport,Green River,US,US,38.9613990784, -110.226997375,,False
